country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Albania,ALB,4/29/21,453248,,,19620,10036,15.75,,,3487,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://twitter.com/gmanastirliu/status/1387881026899386376?s=21
Argentina,ARG,4/29/21,7715006,6806565,908441,157020,145938,17.07,15.06,2.01,3229,"Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",Ministry of Health,http://datos.salud.gob.ar/dataset/vacunas-contra-covid-19-dosis-aplicadas-en-la-republica-argentina
Aruba,ABW,4/29/21,75846,54095,21751,1178,1651,71.04,50.67,20.37,15464,Pfizer/BioNTech,Government of Aruba,https://www.government.aw
Australia,AUS,4/29/21,2112285,,,82741,46707,8.28,,,1832,"Oxford/AstraZeneca, Pfizer/BioNTech",Government of Australia via covidlive.com.au,https://covidlive.com.au/vaccinations
Austria,AUT,4/29/21,3054261,2225301,828984,72289,48326,33.91,24.71,9.2,5366,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://info.gesundheitsministerium.gv.at/opendata/
Azerbaijan,AZE,4/29/21,1471579,959804,511775,15465,12802,14.51,9.47,5.05,1263,Sinovac,Government of Azerbaijan,https://koronavirusinfo.az
Bahrain,BHR,4/29/21,1224175,685353,538822,7816,10649,71.94,40.28,31.67,6258,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,https://healthalert.gov.bh/en/
Bangladesh,BGD,4/29/21,8625350,5819656,2805694,107549,125527,5.24,3.53,1.7,762,Oxford/AstraZeneca,Directorate General of Health Services,https://dghs.gov.bd/images/docs/vpr/Covid-19-Vaccination-Update-29-4-2021.pdf
Belgium,BEL,4/29/21,3738748,2938986,800869,62457,52702,32.26,25.36,6.91,4547,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Sciensano,https://epistat.wiv-isp.be/covid/
Bhutan,BTN,4/29/21,480330,480330,,93,139,62.25,62.25,,180,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MoHBhutan/photos/a.999012646827018/4116301265098125/
Brazil,BRA,4/29/21,41989957,28778338,13211619,986298,995000,19.75,13.54,6.22,4681,"Oxford/AstraZeneca, Sinovac",Ministry of Health,https://qsprod.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html
Bulgaria,BGR,4/29/21,803176,595509,207667,26922,14951,11.56,8.57,2.99,2152,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://coronavirus.bg/bg/statistika
